timestamp, sensor, filename, position_x, position_y, position_z, orientation_x, orientation_y, orientation_z, orientation_w
1710501427963495692,laser_scan,./dataset/tb4/pcd/1710501427963495692.pcd,-0.19982625544071161,-0.0764949470758447,0.0,0.0,0.0,0.10091973684380352,0.9948945706532816
1710501428109777933,laser_scan,./dataset/tb4/pcd/1710501428109777933.pcd,-0.19982625544071161,-0.07649494707584473,0.0,0.0,0.0,0.10091973684380352,0.9948945706532816
1710501428244085613,laser_scan,./dataset/tb4/pcd/1710501428244085613.pcd,-0.19982625544071161,-0.07649494707584473,0.0,0.0,0.0,0.10091973684380352,0.9948945706532816
1710501427710005151,camera,./dataset/tb4/image/1710501427710005151.png,-0.19982625544071161,-0.07649494707584473,0.0,0.0,0.0,0.10091973684380352,0.9948945706532816
1710501427743333511,camera,./dataset/tb4/image/1710501427743333511.png,-0.19982625544071161,-0.07649494707584473,0.0,0.0,0.0,0.10091973684380352,0.9948945706532816
1710501427776662151,camera,./dataset/tb4/image/1710501427776662151.png,-0.19982625544071161,-0.07649494707584473,0.0,0.0,0.0,0.10091973684380352,0.9948945706532816
1710501428379396690,laser_scan,./dataset/tb4/pcd/1710501428379396690.pcd,-0.19982625544071161,-0.07649494707584474,0.0,0.0,0.0,0.10091973684380352,0.9948945706532816
1710501427809990871,camera,./dataset/tb4/image/1710501427809990871.png,-0.19982625544071161,-0.07649494707584474,0.0,0.0,0.0,0.10091973684380352,0.9948945706532816
1710501427843319508,camera,./dataset/tb4/image/1710501427843319508.png,-0.19982625544071161,-0.07649494707584474,0.0,0.0,0.0,0.10091973684380352,0.9948945706532816
1710501427876648170,camera,./dataset/tb4/image/1710501427876648170.png,-0.19982625544071161,-0.07649494707584474,0.0,0.0,0.0,0.10091973684380352,0.9948945706532816
1710501427909976715,camera,./dataset/tb4/image/1710501427909976715.png,-0.19982625544071161,-0.07649494707584474,0.0,0.0,0.0,0.10091973684380352,0.9948945706532816
1710501428514292382,laser_scan,./dataset/tb4/pcd/1710501428514292382.pcd,-0.19982625544071161,-0.07649494707584474,0.0,0.0,0.0,0.10091973684380352,0.9948945706532816
